data;m;TOC;TEP;;;;;
20/10/2020;20;1127;30;;;;;
20/10/2020;50;853;15;;;;;
20/10/2020;100;790;8;;;;;
20/10/2020;350;770;0;;;;;
09/11/2020;0;1263;;;;;;
09/11/2020;5;1100;;;;;;
09/11/2020;10;1157;;;;;;
09/11/2020;15;1079;;;;;;
09/11/2020;20;1121;;;;;;
09/11/2020;50;814;;;;;;
09/11/2020;100;803;;;;;;
09/11/2020;350;736;;;;;;
14/12/2020;0;1035;;;;;;
14/12/2020;5;1051;;;;;;
14/12/2020;10;1065;;;;;;
14/12/2020;15;1082;;;;;;
14/12/2020;20;1069;;;;;;
14/12/2020;50;838;;;;;;
14/12/2020;100;780;;;;;;
14/12/2020;350;761;;;;;;
18/01/2021;0;946,4;;;;;;
18/01/2021;5;942,6;;;;;;
18/01/2021;10;959,6;;;;;;
18/01/2021;15;961,1;;;;;;
18/01/2021;20;959,5;;;;;;
18/01/2021;50;962,9;;;;;;
18/01/2021;100;788,1;;;;;;
18/01/2021;350;775,7;;;;;;
15/02/2021;0;961,7;;;;;;
15/02/2021;5;987,3;;;;;;
15/02/2021;10;949,5;;;;;;
15/02/2021;15;926,2;;;;;;
15/02/2021;20;908,4;;;;;;
15/02/2021;50;919,3;;;;;;
15/02/2021;100;816,8;;;;;;
15/02/2021;350;805,2;;;;;;
15/03/2021;0;850,0;;;;;;
15/03/2021;5;848,7;;;;;;
15/03/2021;10;807,2;;;;;;
15/03/2021;15;800,0;;;;;;
15/03/2021;20;799,6;;;;;;
15/03/2021;50;857,0;;;;;;
15/03/2021;100;748,7;;;;;;
15/03/2021;350;652,6;;;;;;
12/04/2021;0;1195,0;;;;;;
12/04/2021;5;1448,5;;;;;;
12/04/2021;10;1213,0;;;;;;
12/04/2021;15;1128,0;;;;;;
12/04/2021;20;1038,5;;;;;;
12/04/2021;50;1111,0;;;;;;
12/04/2021;100;801,8;;;;;;
12/04/2021;350;800,0;;;;;;
31/05/2021;0;1290,0;;;;;;
31/05/2021;5;1131,4;;;;;;
31/05/2021;10;1205,0;;;;;;
31/05/2021;15;654,4;;;;;;
31/05/2021;20;688,0;;;;;;
31/05/2021;50;652,0;;;;;;
31/05/2021;100;600,0;;;;;;
31/05/2021;350;628,6;;;;;;
16/06/2021;0;1596,5;;;;;;
16/06/2021;5;1364,5;;;;;;
16/06/2021;10;1252,5;;;;;;
16/06/2021;15;1059,0;;;;;;
16/06/2021;20;1082,0;;;;;;
16/06/2021;50;860,1;;;;;;
16/06/2021;100;799,5;;;;;;
16/06/2021;350;734,3;;;;;;
19/07/2021;0;772,4;;;;;;
19/07/2021;5;769,4;;;;;;
19/07/2021;10;783,6;;;;;;
19/07/2021;15;1052,0;;;;;;
19/07/2021;20;997,0;;;;;;
19/07/2021;50;969,9;;;;;;
19/07/2021;100;834,7;;;;;;
19/07/2021;350;800,0;;;;;;
16/08/2021;0;1421,0;;;;;;
16/08/2021;5;1440,5;;;;;;
16/08/2021;10;1165,5;;;;;;
16/08/2021;15;973,0;;;;;;
16/08/2021;20;992,6;;;;;;
16/08/2021;50;981,4;;;;;;
16/08/2021;100;745,1;;;;;;
16/08/2021;350;716,3;;;;;;
20/09/2021;0;1416,5;;;;;;
20/09/2021;5;1289,0;;;;;;
20/09/2021;10;1235,0;;;;;;
20/09/2021;15;1196,0;;;;;;
20/09/2021;20;1179,5;;;;;;
20/09/2021;50;832,3;;;;;;
20/09/2021;100;700,3;;;;;;
20/09/2021;350;628,6;;;;;;
12/10/2021;0;1265,5;;;;;;
12/10/2021;5;1319,5;;;;;;
12/10/2021;10;1258,0;;;;;;
12/10/2021;15;1145,0;;;;;;
12/10/2021;20;1067,0;;;;;;
12/10/2021;50;775,1;;;;;;
12/10/2021;100;722,8;;;;;;
12/10/2021;350;694,7;;;;;;
16/11/2021;0;1095,5;;;;;;
16/11/2021;5;1117,5;;;;;;
16/11/2021;10;1135,0;;;;;;
16/11/2021;15;1082,5;;;;;;
16/11/2021;20;1104,5;;;;;;
16/11/2021;50;809,6;;;;;;
